Traffic_Registration_Point,Name,Road_Reference,From,To,Date,From_Time,To_Time,Lane,Traffic_Volume,Coverage_Percentage,Total_Hours,Included_Hours,Invalid_Hours,Invalid_Length,Length_Quality_Grade,Under_5_6m,Over_5_6m,5_6m_to_7_6m,7_6m_to_12_5m,12_5m_to_16_0m,Over_16_0m,16_0m_to_24_0m,Over_24_0m,Year,Month,Day,Hour,Day_of_Week,Is_Weekend,Light_Vehicles,Heavy_Vehicles,Heavy_Vehicle_Ratio,Is_Rush_Hour,Season,Traffic_Volume_Category,Traffic_Quality_Category,Day_Type,Is_Peak_Traffic
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 00:00:00,2024-02-01 01:00:00,2024-02-01,00:00,01:00,1,83,100.0,1,1,0,0,100.0,73,10,1,1,0,8,8,0,2024,2,1,0,3,0,73,28,0.3373493975903614,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 00:00:00,2024-02-01 01:00:00,2024-02-01,00:00,01:00,2,63,100.0,1,1,0,0,100.0,52,11,5,0,0,6,6,0,2024,2,1,0,3,0,52,28,0.4444444444444444,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 00:00:00,2024-02-01 01:00:00,2024-02-01,00:00,01:00,Totalt,146,100.0,1,1,0,0,100.0,125,21,6,1,0,14,14,0,2024,2,1,0,3,0,125,56,0.3835616438356164,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 00:00:00,2024-02-01 01:00:00,2024-02-01,00:00,01:00,Totalt i retning Hausmannsgate,65,100.0,1,1,0,0,100.0,54,11,5,0,0,6,6,0,2024,2,1,0,3,0,54,28,0.4307692307692308,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 00:00:00,2024-02-01 01:00:00,2024-02-01,00:00,01:00,Totalt i retning Waldemar Tranes Gt.,81,100.0,1,1,0,0,100.0,71,10,1,1,0,8,8,0,2024,2,1,0,3,0,71,28,0.345679012345679,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 01:00:00,2024-02-01 02:00:00,2024-02-01,01:00,02:00,1,46,100.0,1,1,0,0,100.0,40,6,3,2,0,1,1,0,2024,2,1,1,3,0,40,13,0.2826086956521739,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 01:00:00,2024-02-01 02:00:00,2024-02-01,01:00,02:00,2,52,100.0,1,1,0,0,100.0,48,4,4,0,0,0,0,0,2024,2,1,1,3,0,48,8,0.1538461538461538,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 01:00:00,2024-02-01 02:00:00,2024-02-01,01:00,02:00,Totalt,98,100.0,1,1,0,0,100.0,88,10,7,2,0,1,1,0,2024,2,1,1,3,0,88,21,0.2142857142857142,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 01:00:00,2024-02-01 02:00:00,2024-02-01,01:00,02:00,Totalt i retning Hausmannsgate,52,100.0,1,1,0,0,100.0,48,4,4,0,0,0,0,0,2024,2,1,1,3,0,48,8,0.1538461538461538,0,Winter,Low,Good,Workday,0
62991V604777,Maridalsveien,KV14622 S9D1 m425,2024-02-01 01:00:00,2024-02-01 02:00:00,2024-02-01,01:00,02:00,Totalt i retning Waldemar Tranes Gt.,46,100.0,1,1,0,0,100.0,40,6,3,2,0,1,1,0,2024,2,1,1,3,0,40,13,0.2826086956521739,0,Winter,Low,Good,Workday,0
